"event","experiment time","system time","system time text"
"START",0.000000000E0,1729450993.324,"2024-10-20 21:03:13.324 UTC+02:00"
"PAUSE",6.266786362E1,1729451055.992,"2024-10-20 21:04:15.992 UTC+02:00"
