"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.107493880E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
2.131638150E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
2.155781900E-1,-7.635590737E-4,-0.000000000E0,-6.108472589E-4,9.778327223E-4
2.179926170E-1,-1.527118147E-4,1.221694518E-3,1.832541777E-3,2.207729095E-3
2.204070440E-1,-1.527118147E-4,1.832541777E-3,6.108472589E-4,1.937695703E-3
2.228214710E-1,5.344913807E-4,6.108472589E-4,-0.000000000E0,8.116744481E-4
2.252358990E-1,1.145338640E-3,-0.000000000E0,-0.000000000E0,1.145338640E-3
2.276503260E-1,-1.527118147E-4,-0.000000000E0,1.221694518E-3,1.231202012E-3
2.300647530E-1,1.145338640E-3,-0.000000000E0,-0.000000000E0,1.145338640E-3
2.324791280E-1,5.344913807E-4,2.443389036E-3,1.221694518E-3,2.783589142E-3
2.348935550E-1,-1.527118147E-4,1.221694518E-3,1.221694518E-3,1.734472798E-3
2.373079820E-1,-7.635590737E-4,-0.000000000E0,-0.000000000E0,7.635590737E-4
2.397224090E-1,-7.635590737E-4,-1.832541777E-3,2.443389036E-3,3.148234712E-3
2.421368360E-1,5.344913807E-4,1.221694518E-3,-0.000000000E0,1.333498606E-3
2.445512630E-1,-1.527118147E-4,6.108472589E-4,-0.000000000E0,6.296469424E-4
2.469656900E-1,-7.635590737E-4,-0.000000000E0,-0.000000000E0,7.635590737E-4
2.493800650E-1,5.344913807E-4,1.221694518E-3,1.221694518E-3,1.808523162E-3
2.517944920E-1,-1.527118147E-4,6.108472589E-4,1.221694518E-3,1.374406333E-3
2.542089190E-1,-1.527118147E-4,1.221694518E-3,6.108472589E-4,1.374406333E-3
2.566233460E-1,-1.527118147E-4,-6.108472589E-4,-0.000000000E0,6.296469424E-4
