"event","experiment time","system time","system time text"
"START",0.000000000E0,1729451218.207,"2024-10-20 21:06:58.207 UTC+02:00"
"PAUSE",8.432163268E1,1729451302.529,"2024-10-20 21:08:22.529 UTC+02:00"
