"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.942234920E-1,2.063809484E-1,-1.728814393E-1,9.869496346E0
9.038807320E-1,2.063809484E-1,-1.704886109E-1,9.876674652E0
9.135379710E-1,1.944168359E-1,-1.561316848E-1,9.869496346E0
9.231952110E-1,2.087737769E-1,-1.872383654E-1,9.871889114E0
9.328524500E-1,2.087737769E-1,-1.657029688E-1,9.881460190E0
9.425096900E-1,2.063809484E-1,-1.680957973E-1,9.867103577E0
9.521669300E-1,1.992024779E-1,-1.585244983E-1,9.867103577E0
9.618241690E-1,1.704886109E-1,-1.848455518E-1,9.879067421E0
9.714814090E-1,2.039881349E-1,-1.657029688E-1,9.874281883E0
9.811386480E-1,1.968096644E-1,-1.537388563E-1,9.883852959E0
9.907958880E-1,2.015953064E-1,-1.752742529E-1,9.883852959E0
1.000453127E0,1.944168359E-1,-1.393819153E-1,9.886245728E0
1.010110367E0,1.944168359E-1,-1.704886109E-1,9.879067421E0
1.019767555E0,2.039881349E-1,-1.704886109E-1,9.883852959E0
1.029424794E0,2.159522474E-1,-1.465603858E-1,9.893424034E0
1.039082034E0,2.231307179E-1,-1.752742529E-1,9.883852959E0
1.048739273E0,2.087737769E-1,-1.537388563E-1,9.864710808E0
1.058396513E0,2.111666054E-1,-1.728814393E-1,9.876674652E0
1.068053752E0,1.920240223E-1,-1.824527234E-1,9.874281883E0
1.077710992E0,2.350948304E-1,-1.872383654E-1,9.883852959E0
1.087368232E0,2.207378894E-1,-1.633101404E-1,9.883852959E0
1.097025471E0,1.920240223E-1,-1.657029688E-1,9.876674652E0
1.106682711E0,1.992024779E-1,-1.441675574E-1,9.879067421E0
1.116339950E0,1.968096644E-1,-1.489532143E-1,9.879067421E0
1.125997190E0,1.920240223E-1,-1.609173268E-1,9.888638496E0
1.135654430E0,2.135594189E-1,-1.633101404E-1,9.874281883E0
1.145311617E0,2.015953064E-1,-1.800599098E-1,9.881460190E0
1.154968857E0,2.039881349E-1,-1.441675574E-1,9.864710808E0
1.164626096E0,2.087737769E-1,-1.609173268E-1,9.862318039E0
1.174283336E0,2.087737769E-1,-1.657029688E-1,9.879067421E0
1.183940575E0,2.183450609E-1,-1.800599098E-1,9.871889114E0
1.193597815E0,2.087737769E-1,-1.393819153E-1,9.867103577E0
1.203255055E0,2.087737769E-1,-1.657029688E-1,9.886245728E0
1.212912294E0,1.896311939E-1,-1.944168359E-1,9.883852959E0
1.222569534E0,2.183450609E-1,-1.776670814E-1,9.874281883E0
1.232226773E0,1.968096644E-1,-1.633101404E-1,9.893424034E0
1.241884013E0,1.944168359E-1,-1.657029688E-1,9.879067421E0
1.251541252E0,2.087737769E-1,-1.728814393E-1,9.881460190E0
1.261198492E0,2.087737769E-1,-1.752742529E-1,9.871889114E0
1.270855732E0,1.968096644E-1,-1.680957973E-1,9.869496346E0
1.280512919E0,2.063809484E-1,-1.800599098E-1,9.874281883E0
1.290170159E0,2.111666054E-1,-1.680957973E-1,9.869496346E0
1.299827398E0,1.896311939E-1,-1.657029688E-1,9.883852959E0
1.309484638E0,2.111666054E-1,-1.585244983E-1,9.871889114E0
1.319141877E0,2.039881349E-1,-1.609173268E-1,9.855138779E0
1.328799117E0,1.992024779E-1,-1.657029688E-1,9.879067421E0
