"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.949980400E-1,-1.477568001E-1,7.597211748E-2,9.876674652E0,9.878071979E0
1.974123630E-1,-1.812563092E-1,9.032905847E-2,9.838389397E0,9.840473521E0
1.998267380E-1,-2.051845491E-1,4.725824669E-2,9.869496346E0,9.871742103E0
2.022410610E-1,-1.597209126E-1,2.333002165E-2,9.876674652E0,9.877993584E0
2.046553840E-1,-1.932204217E-1,7.357929647E-2,9.852746010E0,9.854915118E0
2.070697590E-1,-1.788634956E-1,2.811566554E-2,9.847960472E0,9.849624770E0
2.094840820E-1,-1.621137410E-1,5.682953820E-2,9.871889114E0,9.873383673E0
2.118984050E-1,-2.075773627E-1,4.486542568E-2,9.902996063E0,9.905272954E0
2.143127280E-1,-2.051845491E-1,1.238285750E-1,9.879067421E0,9.881973858E0
2.167271030E-1,-2.003988922E-1,6.161518395E-2,9.917352676E0,9.919568552E0
2.191414260E-1,-2.003988922E-1,9.511470050E-2,9.900602341E0,9.903087056E0
2.215557490E-1,-1.908276081E-1,1.333998591E-1,9.922138214E0,9.924869643E0
2.239701240E-1,-1.692921966E-1,1.118644550E-1,9.905388832E0,9.907466953E0
2.263844470E-1,-1.812563092E-1,8.075776696E-2,9.874281883E0,9.876275532E0
2.287987690E-1,-1.716850251E-1,8.554340899E-2,9.886245728E0,9.888106391E0
2.312131440E-1,-2.003988922E-1,5.443671346E-2,9.869496346E0,9.871680768E0
2.336274670E-1,-1.980060786E-1,5.204389244E-2,9.867103577E0,9.869227324E0
2.360417900E-1,-1.333998591E-1,8.554340899E-2,9.864710808E0,9.865983606E0
2.384561650E-1,-1.812563092E-1,6.640082598E-2,9.845567703E0,9.847459892E0
2.408704880E-1,-1.621137410E-1,9.032905847E-2,9.855138779E0,9.856885946E0
2.432848110E-1,-1.764706671E-1,6.161518395E-2,9.859925270E0,9.861696845E0
2.456991860E-1,-1.884347796E-1,5.922235921E-2,9.845567703E0,9.847548850E0
2.481135090E-1,-1.836491376E-1,1.094716340E-1,9.859925270E0,9.862243020E0
2.505278320E-1,-1.836491376E-1,7.597211748E-2,9.874281883E0,9.876281764E0
2.529421550E-1,-1.764706671E-1,9.511470050E-2,9.881460190E0,9.883493521E0
2.553565300E-1,-1.884347796E-1,5.204389244E-2,9.907781601E0,9.909710010E0
2.577708530E-1,-1.597209126E-1,3.529413417E-2,9.893424034E0,9.894776176E0
2.601852280E-1,-1.908276081E-1,8.554340899E-2,9.898209572E0,9.900418455E0
2.625995510E-1,-1.692921966E-1,5.204389244E-2,9.886245728E0,9.887832068E0
2.650138740E-1,-2.365903407E-1,9.511470050E-2,9.881460190E0,9.884749733E0
2.674281970E-1,-1.716850251E-1,8.075776696E-2,9.862318039E0,9.864142875E0
2.698425720E-1,-2.051845491E-1,8.554340899E-2,9.881460190E0,9.883960434E0
2.722568940E-1,-1.836491376E-1,1.118644550E-1,9.862318039E0,9.864662070E0
2.746712170E-1,-1.621137410E-1,2.572284266E-2,9.869496346E0,9.870861191E0
2.770855920E-1,-1.597209126E-1,7.357929647E-2,9.874281883E0,9.875847680E0
2.794999150E-1,-1.525424421E-1,7.357929647E-2,9.902996063E0,9.904444161E0
2.819142380E-1,-1.525424421E-1,6.400800496E-2,9.871889114E0,9.873275085E0
2.843286130E-1,-1.692921966E-1,6.640082598E-2,9.869496346E0,9.871171513E0
2.867429360E-1,-1.692921966E-1,5.204389244E-2,9.874281883E0,9.875870145E0
2.891572590E-1,-1.716850251E-1,9.272187948E-2,9.888638496E0,9.890563402E0
2.915716340E-1,-1.692921966E-1,8.315058798E-2,9.871889114E0,9.873690726E0
2.939859570E-1,-2.509472668E-1,3.290131316E-2,9.869496346E0,9.872741015E0
2.964002800E-1,-1.884347796E-1,4.725824669E-2,9.864710808E0,9.866623553E0
2.988146550E-1,-1.501496136E-1,9.272187948E-2,9.879067421E0,9.880643469E0
3.012289780E-1,-1.405783296E-1,6.161518395E-2,9.855138779E0,9.856333956E0
3.036433010E-1,-2.027917206E-1,8.315058798E-2,9.859925270E0,9.862361017E0
3.060576760E-1,-2.123630047E-1,6.400800496E-2,9.900602341E0,9.903086477E0
3.084719990E-1,-1.908276081E-1,5.682953820E-2,9.883852959E0,9.885858288E0
3.108863220E-1,-1.884347796E-1,2.572284266E-2,9.902996063E0,9.904822076E0
3.133006440E-1,-1.836491376E-1,6.400800496E-2,9.883852959E0,9.885766199E0
3.157150190E-1,-1.477568001E-1,6.400800496E-2,9.886245728E0,9.887557013E0
3.181293420E-1,-1.333998591E-1,8.554340899E-2,9.879067421E0,9.880338370E0
3.205436650E-1,-2.195414752E-1,1.094716340E-1,9.871889114E0,9.874936819E0
3.229580400E-1,-1.860419661E-1,1.022931710E-1,9.888638496E0,9.890917390E0
3.253723630E-1,-1.525424421E-1,4.486542568E-2,9.893424034E0,9.894701674E0
3.277866860E-1,-1.692921966E-1,8.793623000E-2,9.876674652E0,9.878516833E0
3.302010610E-1,-1.429711580E-1,7.357929647E-2,9.891031265E0,9.892338154E0
3.326153840E-1,-1.884347796E-1,6.161518395E-2,9.864710808E0,9.866702763E0
3.350297070E-1,-1.812563092E-1,5.204389244E-2,9.883852959E0,9.885651811E0
3.374440820E-1,-1.645065546E-1,6.161518395E-2,9.891031265E0,9.892591083E0
3.398584050E-1,-2.027917206E-1,9.272187948E-2,9.893424034E0,9.895936588E0
3.422727280E-1,-1.740778536E-1,1.166501045E-1,9.893424034E0,9.895642954E0
3.446871030E-1,-1.836491376E-1,5.922235921E-2,9.893424034E0,9.895305625E0
3.471014260E-1,-1.956132501E-1,3.290131316E-2,9.881460190E0,9.883450942E0
3.495157490E-1,-1.908276081E-1,1.238285750E-1,9.900602341E0,9.903215407E0
3.519300720E-1,-1.836491376E-1,7.597211748E-2,9.886245728E0,9.888243188E0
3.543444470E-1,-2.099701911E-1,4.486542568E-2,9.883852959E0,9.886184790E0
3.567587690E-1,-2.123630047E-1,7.836493850E-2,9.869496346E0,9.872091836E0
3.591730920E-1,-2.075773627E-1,1.022931710E-1,9.876674652E0,9.879385327E0
3.615874670E-1,-2.027917206E-1,7.118647546E-2,9.893424034E0,9.895758239E0
3.640017900E-1,-1.740778536E-1,1.190429255E-1,9.895816803E0,9.898063675E0
3.664161130E-1,-1.980060786E-1,6.879365444E-2,9.864710808E0,9.866937635E0
3.688304880E-1,-1.764706671E-1,1.166501045E-1,9.857531548E0,9.859801081E0
3.712448110E-1,-1.836491376E-1,8.554340899E-2,9.879067421E0,9.881144559E0
3.736591340E-1,-1.740778536E-1,8.075776696E-2,9.869496346E0,9.871361762E0
3.760735090E-1,-1.980060786E-1,6.400800496E-2,9.886245728E0,9.888435570E0
3.784878320E-1,-1.812563092E-1,3.290131316E-2,9.898209572E0,9.899923690E0
3.809021550E-1,-1.716850251E-1,5.922235921E-2,9.900602341E0,9.902267909E0
3.833164780E-1,-1.525424421E-1,3.768695518E-2,9.876674652E0,9.877924462E0
3.857308530E-1,-1.764706671E-1,5.204389244E-2,9.893424034E0,9.895134642E0
3.881451760E-1,-2.294118702E-1,1.022931710E-1,9.895816803E0,9.899004187E0
3.905594990E-1,-2.270190418E-1,8.075776696E-2,9.874281883E0,9.877221379E0
3.929738740E-1,-2.099701911E-1,3.768695518E-2,9.898209572E0,9.900508094E0
3.953881970E-1,-1.860419661E-1,4.007977992E-2,9.883852959E0,9.885684969E0
3.978025190E-1,-2.123630047E-1,6.879365444E-2,9.886245728E0,9.888765605E0
4.002168940E-1,-1.692921966E-1,7.357929647E-2,9.898209572E0,9.899930631E0
4.026312170E-1,-1.453639716E-1,5.682953820E-2,9.871889114E0,9.873122858E0
4.050455400E-1,-1.525424421E-1,8.315058798E-2,9.883852959E0,9.885379736E0
4.074599150E-1,-1.716850251E-1,7.357929647E-2,9.898209572E0,9.899971838E0
4.098742380E-1,-1.573280841E-1,7.118647546E-2,9.871889114E0,9.873399330E0
4.122885610E-1,-1.764706671E-1,6.640082598E-2,9.869496346E0,9.871297234E0
4.147029360E-1,-2.027917206E-1,9.750752151E-2,9.886245728E0,9.888806135E0
4.171172590E-1,-2.365903407E-1,8.554340899E-2,9.876674652E0,9.879878281E0
4.195315820E-1,-1.788634956E-1,6.400800496E-2,9.879067421E0,9.880893800E0
4.219459570E-1,-2.171486616E-1,5.204389244E-2,9.871889114E0,9.874414251E0
4.243602800E-1,-1.788634956E-1,4.965107143E-2,9.871889114E0,9.873634187E0
4.267746030E-1,-1.716850251E-1,4.247260094E-2,9.869496346E0,9.871080882E0
4.291889260E-1,-1.692921966E-1,9.990034252E-2,9.879067421E0,9.881022874E0
4.316033010E-1,-1.980060786E-1,5.922235921E-2,9.886245728E0,9.888405750E0
4.340176240E-1,-1.788634956E-1,6.400800496E-2,9.886245728E0,9.888070780E0
4.364319470E-1,-1.645065546E-1,9.511470050E-2,9.876674652E0,9.878502488E0
4.388463220E-1,-1.836491376E-1,5.443671346E-2,9.883852959E0,9.885708860E0
4.412606440E-1,-1.764706671E-1,6.161518395E-2,9.883852959E0,9.885620245E0
4.436749670E-1,-1.740778536E-1,6.879365444E-2,9.876674652E0,9.878448150E0
4.460893420E-1,-1.668993831E-1,2.811566554E-2,9.874281883E0,9.875732307E0
4.485036650E-1,-2.027917206E-1,8.075776696E-2,9.895816803E0,9.898223906E0
4.509179880E-1,-2.123630047E-1,8.973085321E-3,9.900602341E0,9.902883685E0
4.533323630E-1,-1.980060786E-1,8.075776696E-2,9.876674652E0,9.878989341E0
4.557466860E-1,-1.645065546E-1,9.032905847E-2,9.888638496E0,9.890419256E0
4.581610090E-1,-1.381855011E-1,6.879365444E-2,9.855138779E0,9.856347607E0
4.605753840E-1,-1.453639716E-1,6.640082598E-2,9.879067421E0,9.880359956E0
4.629897070E-1,-1.645065546E-1,7.597211748E-2,9.893424034E0,9.895083289E0
4.654040300E-1,-2.003988922E-1,8.554340899E-2,9.871889114E0,9.874293498E0
4.678183530E-1,-1.764706671E-1,9.032905847E-2,9.864710808E0,9.866702618E0
4.702327280E-1,-1.812563092E-1,8.075776696E-2,9.867103577E0,9.869098675E0
4.726470510E-1,-1.788634956E-1,8.554340899E-2,9.864710808E0,9.866703054E0
4.750613740E-1,-2.075773627E-1,1.046859920E-1,9.886245728E0,9.888978820E0
4.774757490E-1,-1.740778536E-1,8.315058798E-2,9.883852959E0,9.885735503E0
4.798900720E-1,-1.501496136E-1,9.511470050E-2,9.886245728E0,9.887843359E0
4.823043940E-1,-1.692921966E-1,6.400800496E-2,9.893424034E0,9.895079383E0
4.847187690E-1,-1.764706671E-1,3.768695518E-2,9.883852959E0,9.885500064E0
4.871330920E-1,-1.932204217E-1,5.443671346E-2,9.871889114E0,9.873929926E0
4.895474150E-1,-1.980060786E-1,8.554340899E-2,9.886245728E0,9.888598418E0
4.919617900E-1,-1.716850251E-1,5.682953820E-2,9.902996063E0,9.904647211E0
